desktop,Name[zh_TW],GenericName[zh_TW],Comment[zh_TW],Name[zh_CN],GenericName[zh_CN],Comment[zh_CN],Name,Name[zh_HK],GenericName[zh_HK],Comment[zh_HK],Categories
oxoffice5-impress.desktop,簡報_Impress,類似 Microsoft PowerPoint 的簡報軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,簡報_Impress,演示幻灯片_Impress,类似MicrosoftPowerPoint的演示幻灯片软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,演示幻灯片_Impress,Presentation_Impress,簡報_Impress,類似 Microsoft PowerPoint 的簡報軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,簡報_Impress,Office;
oxoffice5-draw.desktop,繪圖_Draw,利用 Office 軟體的使用思維即可輕鬆的繪製向量圖,繪圖_Draw,画图_Draw,利用Office软件的使用思维即可轻松的绘制向量图,画图_Draw,Graphics_Draw,繪圖_Draw,利用 Office 軟體的使用思維即可輕鬆的繪製向量圖,繪圖_Draw,Office;
oxoffice5-base.desktop,資料庫_Base,類似 Microsoft Access 的資料庫軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,資料庫_Base,数据库_Base,类似MicrosoftAccess的数据库软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,数据库_Base,Database_Base,資料庫_Base,類似 Microsoft Access 的資料庫軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,資料庫_Base,Office;
oxoffice5-math.desktop,公式編輯_Math,OxOffice 上可以做數學公式編輯的軟體,公式編輯_Math,公式编辑_Math,OxOffice 上可以做数学公式编辑的软件,公式编辑_Math,Formula_Math,公式編輯_Math,OxOffice 上可以做數學公式編輯的軟體,公式編輯_Math,Office;
oxoffice5-startcenter.desktop,整合應用_OxOffice,OxOffice 的入口,整合應用_OxOffice,整合应用_OxOffice,OxOffice的入口,整合应用_OxOffice,Office_OxOffice,整合應用_OxOffice,OxOffice 的入口,整合應用_OxOffice,Office;
oxoffice6-writer.desktop,文書處理_Writer,類似 Microsoft Word 的文書處理軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,文書處理_Writer,文书处理_Writer,类似MicrosoftWord的文书处理软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,文书处理_Writer,WordProcessor_Writer,文書處理_Writer,類似 Microsoft Word 的文書處理軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,文書處理_Writer,Office;
oxoffice6-calc.desktop,試算表_Calc,類似 Microsoft Excel 的試算表軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,試算表_Calc,数字表格_Calc,类似MicrosoftExcel的数字表格软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,数字表格_Calc,SpreadSheet_Calc,試算表_Calc,類似 Microsoft Excel 的試算表軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,試算表_Calc,Office;
oxoffice6-impress.desktop,簡報_Impress,類似 Microsoft PowerPoint 的簡報軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,簡報_Impress,演示幻灯片_Impress,类似MicrosoftPowerPoint的演示幻灯片软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,演示幻灯片_Impress,Presentation_Impress,簡報_Impress,類似 Microsoft PowerPoint 的簡報軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,簡報_Impress,Office;
oxoffice6-draw.desktop,繪圖_Draw,利用 Office 軟體的使用思維即可輕鬆的繪製向量圖,繪圖_Draw,画图_Draw,利用Office软件的使用思维即可轻松的绘制向量图,画图_Draw,Graphics_Draw,繪圖_Draw,利用 Office 軟體的使用思維即可輕鬆的繪製向量圖,繪圖_Draw,Office;
oxoffice6-base.desktop,資料庫_Base,類似 Microsoft Access 的資料庫軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,資料庫_Base,数据库_Base,类似MicrosoftAccess的数据库软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,数据库_Base,Database_Base,資料庫_Base,類似 Microsoft Access 的資料庫軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,資料庫_Base,Office;
oxoffice6-math.desktop,公式編輯_Math,OxOffice 上可以做數學公式編輯的軟體,公式編輯_Math,公式编辑_Math,OxOffice 上可以做数学公式编辑的软件,公式编辑_Math,Formula_Math,公式編輯_Math,OxOffice 上可以做數學公式編輯的軟體,公式編輯_Math,Office;
oxoffice6-startcenter.desktop,整合應用_OxOffice,OxOffice 的入口,整合應用_OxOffice,整合应用_OxOffice,OxOffice的入口,整合应用_OxOffice,Office_OxOffice,整合應用_OxOffice,OxOffice 的入口,整合應用_OxOffice,Office;
# abiword.desktop: 20141107 added by Franklin,,,,,,,,,,,
abiword.desktop,文書處理_Abiword,簡易的文書處理軟體,文書處理_Abiword,文书处理_Abiword,简易的文书处理软件,文书处理_Abiword,WordProcessor_Abiword,文書處理_Abiword,簡易的文書處理軟體,文書處理_Abiword,Office;
dia-common.desktop,辧公室製圖_Dia,Dia 提供模組化的設計工具來製圖，如流程圖、網路圖、電路圖等，都可以利用 Dia 輕鬆繪製,辧公室製圖_Dia,办公室制图_Dia,Dia提供模块化的设计工具来制图，如流程图、网络图、电路图等，都可以利用Dia轻松绘制,办公室制图_Dia,Diagram_Dia,辧公室製圖_Dia,Dia 提供模組化的設計工具來製圖，如流程圖、網路圖、電路圖等，都可以利用 Dia 輕鬆繪製,辧公室製圖_Dia,Office;
dia.desktop,圖表繪製_Dia,Dia 提供模組化的設計工具來製圖，如流程圖、網路圖、電路圖等，都可以利用 Dia 輕鬆繪製,圖表繪製_Dia,图表绘制_Dia,Dia提供模块化的设计工具来制图，如流程图、网络图、电路图等，都可以利用Dia轻松绘制,图表绘制_Dia,Diagram_Dia,圖表繪製_Dia,Dia 提供模組化的設計工具來製圖，如流程圖、網路圖、電路圖等，都可以利用 Dia 輕鬆繪製,圖表繪製_Dia,Office;
pencil.desktop,圖表繪製_Pencil,圖表繪製軟體,圖表繪製_Pencil,图表绘制_Pencil,图表绘制软件,图表绘制_Pencil,Diagram_Pencil,圖表繪製_Pencil,圖表繪製軟體,圖表繪製_Pencil,Office;
freeplane.desktop,心智圖_FreePlane,可輕鬆繪製心智圖的工具軟體,心智圖_FreePlane,思维导图_FreePlane,可轻松绘制思维导图的工具软件,思维导图_FreePlane,Mindmap_FreePlane,心智圖_FreePlane,可輕鬆繪製心智圖的工具軟體,心智圖_FreePlane,Office;
xmind.desktop,心智圖_XMind,可輕鬆繪製心智圖、組織圖、魚骨圖的工具軟體,心智圖_XMind,思维导图_XMind,可轻松绘制思维导图、组织图、鱼骨图的工具软件,思维导图_XMind,Mindmap_XMind,心智圖_XMind,可輕鬆繪製心智圖、組織圖、魚骨圖的工具軟體,心智圖_XMind,Office;
freemind.desktop,心智圖_FreeMind,可輕鬆繪製心智圖、組織圖的工具軟體,心智圖_FreeMind,思维导图_FreeMind,可轻松绘制思维导图、组织图的工具软件,思维导图_FreeMind,Mindmap_FreeMind,心智圖_FreeMind,可輕鬆繪製心智圖、組織圖的工具軟體,心智圖_FreeMind,Office;
planner.desktop,專案管理_Planner,Planner 擁有大多數專案管理工具都有的功能，像是甘特圖。除此之外，Planner 還有其他獨特的功能，像是儲存為XML檔,專案管理_Planner,项目管理_Planner,Planner拥有大多数专案管理工具都有的功能，像是甘特图。除此之外，Planner還有其他獨特的功能，像是儲存為XML檔,项目管理_Planner,ProjectManaging_Planner,專案管理_Planner,Planner 擁有大多數專案管理工具都有的功能，像是甘特圖。除此之外，Planner 還有其他獨特的功能，像是儲存為XML檔,專案管理_Planner,Office;
GanttProject.desktop,專案管理_GanttProject,GanttProject 是一套跨平台的專案管理工具，可用於專案規劃與管理,專案管理_GanttProject,项目管理_GanttProject,GanttProject是一套跨平台的专案管理工具，可用于专案规划与管理,项目管理_GanttProject,ProjectManaging_GanttProject,專案管理_GanttProject,GanttProject 是一套跨平台的專案管理工具，可用於專案規劃與管理,專案管理_GanttProject,Office;
calibre.desktop,電子書_Calibre,電子書閱讀軟體,電子書_Calibre,电子书_Calibre,电子书阅读软件,电子书_Calibre,eBook_Calibre,電子書_Calibre,電子書閱讀軟體,電子書_Calibre,Office;
calibre-gui.desktop,電子書_Calibre,Calibre 是一套功能算齊全的電子書管理工具，支援多種文件格式，它除了提供電子書閱讀的功能以外，還有管理、轉換及同步等功能。,電子書_Calibre,电子书_Calibre,Calibre是一套功能算齐全的电子书管理工具，支持多种文件格式，它除了提供电子书阅读的功能以外，还有管理、转换及同步等功能。,电子书_Calibre,eBook_Calibre,電子書_Calibre,Calibre 是一套功能算齊全的電子書管理工具，支援多種文件格式，它除了提供電子書閱讀的功能以外，還有管理、轉換及同步等功能。,電子書_Calibre,Office;
calibre-ebook-viewer.desktop,電子書_E-book Viewer,提供電子書閱讀的功能,電子書_E-book Viewer,电子书_E-bookViewer,提供电子书阅读的功能,电子书_E-bookViewer,eBook_E-book Viewer,電子書_E-book Viewer,提供電子書閱讀的功能,電子書_E-book Viewer,Office;
calibre-ebook-edit.desktop,電子書編輯_E-bookEditor,提供電子書編輯的功能,電子書_E-bookEditor,电子书_E-bookEditor,提供电子书编辑的功能,电子书_E-bookEditor,eBook_E-book Editor,電子書_E-book Editor,提供電子書編輯的功能,電子書編輯_E-book Editor,Office;
ebook-viewer.desktop,電子書_E-book Viewer,提供電子書閱讀的功能,電子書_E-book Viewer,电子书_E-bookViewer,提供电子书阅读的功能,电子书_E-bookViewer,eBook_E-book Viewer,電子書_E-book Viewer,提供電子書閱讀的功能,電子書_E-book Viewer,Office;
calibre-lrfviewer.desktop,電子書_LRF Viewer,提供電子書閱讀的功能,電子書_LRF Viewer,电子书_LRFViewer,提供电子书阅读的功能,电子书_LRFViewer,eBook_LRF Viewer,電子書_LRF Viewer,提供電子書閱讀的功能,電子書_LRF Viewer,Office;
lrfviewer.desktop,電子書_LRF Viewer,提供電子書閱讀的功能,電子書_LRF Viewer,电子书_LRFViewer,提供电子书阅读的功能,电子书_LRFViewer,eBook_LRF Viewer,電子書_LRF Viewer,提供電子書閱讀的功能,電子書_LRF Viewer,Office;
okular.desktop,PDF瀏覽_Okular,多功能文件檢視器,PDF瀏覽_Okular,PDF浏览_Okular,多功能文件查看器,PDF浏览_Okular,PDFViewer_Okular,PDF瀏覽_Okular,多功能文件檢視器,PDF瀏覽_Okular,Office;
org.kde.okular.desktop,文件檢視_Okular,多功能文件檢視器,文件檢視_Okular,文件檢視_Okular,多功能文件查看器,文件檢視_Okular,DocViewer_Okular,文件檢視_Okular,多功能文件檢視器,文件檢視_Okular,Office;
# evince.desktop: 20141107 added by Franklin,,,,,,,,,,,
evince.desktop,文件檢視_DocumentViewer,文件檢視器,文件檢視_DocumentViewer,文件检视_DocumentViewer,文件检视器,文件检视_DocumentViewer,Viewer_DocumentViewer,文件檢視_DocumentViewer,文件檢視器,文件檢視_DocumentViewer,Office;
AdobeReader.desktop,PDF瀏覽_AdobeReader,Adobe 原廠的 PDF 瀏覽器,PDF瀏覽_AdobeReader,PDF浏览_AdobeReader,Adobe原厂的PDF瀏覽器,PDF浏览_AdobeReader,PDFViewer_AdobeReader,PDF瀏覽_AdobeReader,Adobe 原廠的 PDF 瀏覽器,PDF瀏覽_AdobeReader,Office;
pdfedit.desktop,PDF編輯_PDF Editor,可直接編輯 PDF 檔中的文字及內容，並且可再另存新檔,PDF編輯_PDF Editor,PDF编辑_PDFEditor,可直接编辑PDF档中的文字及内容，并且可再另存为,PDF编辑_PDFEditor,PDFEditor_PDF Editor,PDF編輯_PDF Editor,可直接編輯 PDF 檔中的文字及內容，並且可再另存新檔,PDF編輯_PDF Editor,Office;
pdfshuffler.desktop,PDF編輯_Shuffler,可輕易做到 PDF 格式合併，重新排列，分割，旋轉和裁剪,PDF編輯_Shuffler,PDF编辑_Shuffler,可轻易做到PDF格式合并，重新排列，分割，旋转和裁剪,PDF编辑_Shuffler,PDFEditor_Shuffler,PDF編輯_Shuffler,可輕易做到 PDF 格式合併，重新排列，分割，旋轉和裁剪,PDF編輯_Shuffler,Office;
xournal.desktop,PDF手繪筆記_Xournal,可在匯入 PDF 檔案後，在上面任意手寫、打字、畫彩色圖形線段、以及以螢光筆作記號,PDF手繪筆記_Xournal,PDF手绘笔记_Xournal,可在输入PDF文件后，在上面任意手写、打字、画彩色图形线段、以及以萤光笔作记号,PDF手绘笔记_Xournal,PDFMarker_Xournal,PDF手繪筆記_Xournal,可在匯入 PDF 檔案後，在上面任意手寫、打字、畫彩色圖形線段、以及以螢光筆作記號,PDF手繪筆記_Xournal,Office;
impressive-editor.desktop,PDF簡報播放_Impressive,可以將 PDF 檔案當成簡報一樣播放的PDF簡報播放軟體,PDF簡報播放_Impressive,PDF幻灯片播放_Impressive,可以将PDF文件当成演示幻灯片一样播放的PDF演示幻灯片播放软件,PDF演示幻灯片播放_Impressive,PDFPresentation_Impressive,PDF簡報播放_Impressive,可以將 PDF 檔案當成簡報一樣播放的PDF簡報播放軟體,PDF簡報播放_Impressive,Office;
kaddressbook.desktop,通訊錄_KAddressbook,KDE 上的通訊錄程式,通訊錄_KAddressbook,通讯录_KAddressbook,KDE上的通讯录程序,通讯录_KAddressbook,AddressBook_KAddressbook,通訊錄_KAddressbook,KDE 上的通訊錄程式,通訊錄_KAddressbook,Office;
gnucash.desktop,金融管理_GnuCash,一套複式簿記系統的記帳軟體，基本上的概念和會計相同,金融管理_GnuCash,金融管理_GnuCash,一套复式簿记系统的记帐软件，基本上的概念和会计相同,金融管理_GnuCash,Financial_GnuCash,金融管理_GnuCash,一套複式簿記系統的記帳軟體，基本上的概念和會計相同,金融管理_GnuCash,Office;
sigil.desktop,電子書編輯_Sigil,一套可見即所得的電子書編輯軟體,電子書編輯_Sigil,电子书编辑_Sigil,一套可见即所得的电子书编辑软件,电子书编辑_Sigil,eBookEditor_Sigil,電子書編輯_Sigil,一套可見即所得的電子書編輯軟體,電子書編輯_Sigil,Office;
qtqr.desktop,QR Code產生器_QtQR,QR Code 的產生器,QR Code產生器_QtQR,QRCode产生器_QtQR,QRCode的产生器,QRCode产生器_QtQR,QRCodeGenerator_QtQR,QR Code產生器_QtQR,QR Code 的產生器,QR Code產生器_QtQR,Office;
#美工,,,,,,,,,,,
krita.desktop,筆刷繪圖_Krita,類似 OpenOffice Draw，功能強大的繪圖軟體,筆刷繪圖_Krita,笔刷绘图_Krita,类似OpenOfficeDraw，功能强大的绘图软件,笔刷绘图_Krita,RazorGraphics_Krita,筆刷繪圖_Krita,類似 OpenOffice Draw，功能強大的繪圖軟體,筆刷繪圖_Krita,Graphics;
org.kde.krita.desktop,筆刷繪圖_Krita,類似 OpenOffice Draw，功能強大的繪圖軟體,筆刷繪圖_Krita,笔刷绘图_Krita,类似OpenOfficeDraw，功能强大的绘图软件,笔刷绘图_Krita,RazorGraphics_Krita,筆刷繪圖_Krita,類似 OpenOffice Draw，功能強大的繪圖軟體,筆刷繪圖_Krita,Graphics;
scribus.desktop,排版軟體_Scribus,適合用於雜誌，報紙等印刷品編輯設計的出版軟體,排版軟體_Scribus,排版软件_Scribus,适合用于杂志，报纸等印刷品编辑设计的出版软件,排版软件_Scribus,Typesetting_Scribus,排版軟體_Scribus,適合用於雜誌，報紙等印刷品編輯設計的出版軟體,排版軟體_Scribus,Graphics;
kamoso.desktop,影像擷取_Kamoso,從您的網路攝影機中擷取圖片,影像擷取_Kamoso,影像撷取_Kamoso,从您的网络摄影机中捕获图片,影像撷取_Kamoso,ScreenShot_Kamoso,影像擷取_Kamoso,從您的網路攝影機中擷取圖片,影像擷取_Kamoso,Graphics;
display.im6.desktop,影像編輯_ImageMagick,影像編輯軟體,影像編輯_ImageMagick,影像编辑_ImageMagick,影像编辑软件,影像编辑_ImageMagick,ImageProcessor_ImageMagick,影像編輯_ImageMagick,影像編輯軟體,影像編輯_ImageMagick,Graphics;
skanlite.desktop,影像掃描_Skanlite,KDE 上的影像掃描軟體,影像掃描_Skanlite,影像扫描_Skanlite,KDE上的影像扫描软件,影像扫描_Skanlite,ImageScan_Skanlite,影像掃描_Skanlite,KDE 上的影像掃描軟體,影像掃描_Skanlite,Graphics;
org.kde.skanlite.desktop,影像掃描_Skanlite,KDE 上的影像掃描軟體,影像掃描_Skanlite,影像扫描_Skanlite,KDE上的影像扫描软件,影像扫描_Skanlite,ImageScan_Skanlite,影像掃描_Skanlite,KDE 上的影像掃描軟體,影像掃描_Skanlite,Graphics;
gpaint.desktop,小畫家_GNU Paint,類似小畫家的繪圖軟體,小畫家_GNU Paint,画图_GNUPaint,类似画图的绘图软件,画图_GNUPaint,Painter_GNU Paint,小畫家_GNU Paint,類似小畫家的繪圖軟體,小畫家_GNU Paint,Graphics;
kolourpaint.desktop,小畫家_KolourPaint,類似小畫家的繪圖軟體,小畫家_KolourPaint,画图_KolourPaint,类似画图的绘图软件,画图_KolourPaint,Painter_KolourPaint,小畫家_KolourPaint,類似小畫家的繪圖軟體,小畫家_KolourPaint,Graphics;
org.kde.kolourpaint.desktop,小畫家_KolourPaint,類似小畫家的繪圖軟體,小畫家_KolourPaint,画图_KolourPaint,类似画图的绘图软件,画图_KolourPaint,Painter_KolourPaint,小畫家_KolourPaint,類似小畫家的繪圖軟體,小畫家_KolourPaint,Graphics;
mtpaint.desktop,小畫家_mtPaint,類似小畫家的繪圖軟體,小畫家_mtPainter,画图_mtPaint,类似画图的绘图软件,画图_mtPaint,Painter_mtPaint,小畫家_mtPaint,類似小畫家的繪圖軟體,小畫家_mtPainter,Graphics;
tuxpaint.desktop,企鵝小畫家_TuxPaint,適合小朋友發揮創意，任意塗鴉的繪圖軟體,企鵝小畫家_TuxPaint,企鹅画图_TuxPaint,适合小朋友发挥创意，任意涂鸦的绘图软件,企鹅画图_TuxPaint,Painter_TuxPaint,企鵝小畫家_TuxPaint,適合小朋友發揮創意，任意塗鴉的繪圖軟體,企鵝小畫家_TuxPaint,Graphics;
mypaint.desktop,筆刷繪圖_My Paint,內建四百種超炫筆刷的繪圖軟體,筆刷繪圖_My Paint,笔刷绘图_MyPaint,内置四百种超炫笔刷的绘图软件,笔刷绘图_MyPaint,RazorGraphics_My Paint,筆刷繪圖_My Paint,內建四百種超炫筆刷的繪圖軟體,筆刷繪圖_My Paint,Graphics;
inkscape.desktop,向量繪圖_Inkscape,可建立 svg 向量圖檔的繪圖軟體，功能和界面類似 CorelDRAW,向量繪圖_Inkscape,向量绘图_Inkscape,可创建svg向量图档的绘图软件，功能和界面类似CorelDRAW,向量绘图_Inkscape,VectorGraphics_Inkscape,向量繪圖_Inkscape,可建立 svg 向量圖檔的繪圖軟體，功能和界面類似 CorelDRAW,向量繪圖_Inkscape,Graphics;
gimp.desktop,影像處理_GIMP,具圖層應用功能的影像編輯和點陣繪圖軟體，功能和界面類似 Photoshop,影像處理_GIMP,影像处理_GIMP,具图层应用功能的影像编辑和点阵绘图软件，功能和界面类似Photoshop,影像处理_GIMP,ImageProcessor_GIMP,影像處理_GIMP,具圖層應用功能的影像編輯和點陣繪圖軟體，功能和界面類似 Photoshop,影像處理_GIMP,Graphics;
jkiwi.desktop,髮型彩粧_jKiwi,jKiwi 可以讓你輕鬆的對人像照片進行髮型與彩粧模擬設計,髮型彩粧_jKiwi,发型彩妆_jKiwi,jKiwi可以让你轻松的对人像照片进行发型与彩妆仿真设计,发型彩妆_jKiwi,HairStyle_jKiwi,髮型彩粧_jKiwi,jKiwi 可以讓你輕鬆的對人像照片進行髮型與彩粧模擬設計,髮型彩粧_jKiwi,Graphics;
digikam.desktop,相片管理_digiKam,專業的數位相片和圖片管理軟體,相片管理_digiKam,相片管理_digiKam,专业的数位相片和图片管理软件,相片管理_digiKam,PicManager_digiKam,相片管理_digiKam,專業的數位相片和圖片管理軟體,相片管理_digiKam,Graphics;
org.kde.digikam.desktop,相片管理_digiKam,專業的數位相片和圖片管理軟體,相片管理_digiKam,相片管理_digiKam,专业的数位相片和图片管理软件,相片管理_digiKam,PicManager_digiKam,相片管理_digiKam,專業的數位相片和圖片管理軟體,相片管理_digiKam,Graphics;
gwenview.desktop,相片瀏覽_Gwenview,簡易的數位相片和圖片瀏覽軟體,相片瀏覽_Gwenview,相片浏览_Gwenview,简易的数位相片和图片浏览软件,相片浏览_Gwenview,PicViewer_Gwenview,相片瀏覽_Gwenview,簡易的數位相片和圖片瀏覽軟體,相片瀏覽_Gwenview,Graphics;
org.kde.gwenview.desktop,相片瀏覽_Gwenview,簡易的數位相片和圖片瀏覽軟體,相片瀏覽_Gwenview,相片浏览_Gwenview,简易的数位相片和图片浏览软件,相片浏览_Gwenview,PicViewer_Gwenview,相片瀏覽_Gwenview,簡易的數位相片和圖片瀏覽軟體,相片瀏覽_Gwenview,Graphics;
# gpicview.desktop: 20141107 added by Franklin,,,,,,,,,,,
gpicview.desktop,相片瀏覽_Gpicview,簡易的數位相片與圖片瀏覽軟體,相片瀏覽_Gpicview,相片浏览_Gpicview,简易的数位相片和图片浏览软件,相片浏览_Gpicview,PicViewer_Gpicview,相片瀏覽_Gpicview,簡易的數位相片與圖片瀏覽軟體,相片瀏覽_Gpicview,Graphics;
f-spot.desktop,相片管理_F-Spot,F-Spot 可以讓你輕鬆的組織及分享你的相片,相片管理_F-Spot,相片管理_F-Spot,F-Spot可以让你轻松的组织及分享你的相片,相片管理_F-Spot,PicManager_F-Spot,相片管理_F-Spot,F-Spot 可以讓你輕鬆的組織及分享你的相片,相片管理_F-Spot,Graphics;
gthumb.desktop,圖片管理_gThumb,簡易的數位相片和圖片管理軟體,圖片管理_gThumb,图片管理_gThumb,简易的数位相片和图片管理软件,图片管理_gThumb,PicManager_gThumb,圖片管理_gThumb,簡易的數位相片和圖片管理軟體,圖片管理_gThumb,Graphics;
